day_of_week,hour,minute,latency_ms,jitter,packet_loss,is_weekend,server_encoded,latency_lag_1,latency_lag_2,latency_lag_3,latency_rolling_mean_5,latency_rolling_std_5,jitter_rolling_mean_5,hour_sin,hour_cos,dow_sin,dow_cos,latency_jitter_ratio
4,23,11,18.8,1.25,0.0,0,0,27.0,27.2,21.4,25.32,5.281287721758776,4.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,15.039987968009628
4,23,11,33.4,10.75,0.0,0,1,18.8,27.0,27.2,25.56,5.684012667121703,4.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.1069764551649808
4,23,11,27.8,1.5,0.0,0,2,33.4,18.8,27.0,26.840000000000003,5.214211349763257,3.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,18.533320977786016
4,23,12,19.6,2.5,0.0,0,0,27.8,33.4,18.8,25.32,6.1132642671489315,3.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.839996864001255
4,23,12,31.8,6.5,0.0,0,1,19.6,27.8,33.4,26.28,6.783214577175041,4.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.892306939645086
4,23,12,32.6,8.25,0.0,0,2,31.8,19.6,27.8,29.04,5.699824558703538,5.9,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.9515146725436767
4,23,12,18.8,1.75,0.0,0,0,32.6,31.8,19.6,26.119999999999997,6.579665645000511,4.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,10.742851004085141
4,23,12,31.6,7.75,0.0,0,1,18.8,32.6,31.8,26.880000000000003,7.02652118761482,5.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.077418828720151
4,23,12,34.0,14.75,0.0,0,2,31.6,18.8,32.6,29.76,6.199032182526557,7.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.3050845894857908
4,23,12,18.6,1.25,0.0,0,0,34.0,31.6,18.8,27.119999999999997,7.73382182365226,6.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,14.879988096009525
4,23,12,29.4,2.5,0.0,0,1,18.6,34.0,31.6,26.48,7.286425735571588,5.6,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,11.75999529600188
4,23,13,35.0,19.75,0.0,0,2,29.4,18.6,34.0,29.72,6.585742175336048,9.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.7721518090049717
4,23,13,17.8,0.75,0.0,0,0,35.0,29.4,18.6,26.96,8.275747700359164,7.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,23.733301688931082
4,23,13,30.6,10.0,0.0,0,1,17.8,35.0,29.4,26.28,7.670202083387371,6.85,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.059999694000031
4,23,13,26.2,1.25,0.0,0,2,30.6,17.8,35.0,27.8,6.418722614352483,6.85,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,20.959983232013414
4,23,13,19.6,0.75,0.0,0,0,26.2,30.6,17.8,25.839999999999996,7.25037930042284,6.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,26.13329848893535
4,23,13,28.2,4.25,0.0,0,1,19.6,26.2,30.6,24.48,5.5382307644228765,3.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.635292556401751
4,23,13,33.0,8.75,0.0,0,2,28.2,19.6,26.2,27.520000000000003,5.109990215254817,5.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.771428140408213
4,23,13,39.075,45.75,0.0,0,0,33.0,28.2,19.6,29.214999999999996,7.316325922209861,12.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.8540983419869216
4,23,13,30.8,4.5,0.0,0,1,39.075,33.0,28.2,30.135,7.129244349859245,12.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.8444429234571285
4,23,14,39.075,32.0,0.0,0,2,30.8,39.075,33.0,34.029999999999994,4.908837693385264,19.05,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.2210937118408216
4,23,14,34.2,15.75,0.0,0,0,39.075,30.8,39.075,35.230000000000004,3.7157351224219344,21.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.1714284335601
4,23,14,37.4,15.5,0.0,0,1,34.2,39.075,30.8,36.11,3.5738896877212,22.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.412903070135286
4,23,14,26.4,1.25,0.0,0,2,37.4,34.2,39.075,33.575,5.110100292557863,13.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.119983104013517
4,23,14,18.2,1.25,0.0,0,0,26.4,37.4,34.2,31.055,8.68030097404462,13.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,14.559988352009318
4,23,14,27.6,2.25,0.0,0,1,18.2,26.4,37.4,28.76,7.461099114741742,7.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.266661214817237
4,23,14,26.8,0.5,0.0,0,2,27.6,18.2,26.4,27.28,6.818504234801062,4.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,53.5998928002144
4,23,15,22.8,7.5,0.0,0,0,26.8,27.6,18.2,24.36,3.9048687557970583,2.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.0399995946667207
4,23,15,27.4,1.25,0.0,0,1,22.8,26.8,27.6,24.56,4.058078362969358,2.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.91998246401403
4,23,15,29.4,1.25,0.0,0,2,27.4,22.8,26.8,26.8,2.4372115213907946,2.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,23.51998118401505
4,23,15,19.2,2.5,0.0,0,0,29.4,27.4,22.8,25.119999999999997,4.085584413520304,2.6,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.679996928001228
4,23,15,32.0,6.5,0.0,0,1,19.2,29.4,27.4,26.159999999999997,5.144706016868217,3.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.92307616568059
4,23,15,33.8,7.25,0.0,0,2,32.0,19.2,29.4,28.359999999999996,5.673446924048908,3.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.662068322473334
4,23,15,22.6,9.25,0.0,0,0,33.8,32.0,19.2,27.4,6.252999280345395,5.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.4432429791088675
4,23,15,27.6,2.25,0.0,0,1,22.6,33.8,32.0,27.04,6.160194802114623,5.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.266661214817237
4,23,16,30.0,6.75,0.0,0,2,27.6,22.6,33.8,29.2,4.352011029397787,6.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.444443786008328
4,23,16,19.4,2.0,0.0,0,0,30.0,27.6,22.6,26.68,5.749086884019064,5.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.699995150002424
4,23,16,30.2,5.5,0.0,0,1,19.4,30.0,27.6,25.959999999999997,4.777865632267201,5.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,5.490908092562164
4,23,16,28.0,3.25,0.0,0,2,30.2,19.4,30.0,27.04,4.425833254879812,3.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.615381964497857
4,23,16,19.2,2.75,0.0,0,0,28.0,30.2,19.4,25.360000000000003,5.598928468912607,4.05,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.981815642976129
4,23,16,26.4,0.75,0.0,0,1,19.2,28.0,30.2,24.64,5.058458263146993,2.85,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,35.19995306672924
4,23,16,27.6,2.5,0.0,0,2,26.4,19.2,28.0,26.28,4.189510711288378,2.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,11.039995584001767
4,23,16,18.0,1.25,0.0,0,0,27.6,26.4,19.2,23.839999999999996,4.838181476546753,2.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,14.399988480009217
4,23,16,26.8,1.5,0.0,0,1,18.0,27.6,26.4,23.6,4.604345773288549,1.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.8666547555635
4,23,17,25.6,0.25,0.0,0,2,26.8,18.0,27.6,24.880000000000003,3.913055072446604,1.25,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,102.3995904016384
4,23,17,22.6,10.75,0.0,0,0,25.6,26.8,18.0,24.12,3.913055072446607,3.25,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.102325385830197
4,23,17,27.6,2.25,0.0,0,1,22.6,25.6,26.8,24.119999999999997,3.913055072446607,3.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.266661214817237
4,23,17,30.0,7.0,0.0,0,2,27.6,22.6,25.6,26.52,2.718823274874639,4.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.285713673469475
4,23,17,22.6,8.5,0.0,0,0,30.0,27.6,22.6,25.68,3.2143428566349415,5.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.6588232166090338
4,23,17,28.6,3.75,0.0,0,1,22.6,30.0,27.6,26.28,3.4658332331490014,6.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.626664632889431
4,23,17,25.4,0.75,0.0,0,2,28.6,22.6,30.0,26.839999999999996,2.9031017894658895,4.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,33.86662151117132
4,23,17,18.6,2.25,0.0,0,0,25.4,28.6,22.6,25.04,4.6052144358325044,4.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.266662992594226
4,23,18,27.8,3.75,0.0,0,1,18.6,25.4,28.6,24.6,4.089009660052187,3.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.413331356444972
4,23,18,26.8,0.75,0.0,0,2,27.8,18.6,25.4,25.44,4.005995506737382,2.25,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,35.733285688952414
4,23,18,23.0,6.5,0.0,0,0,26.8,27.8,18.6,24.32,3.6704223190254432,2.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.5384609940829237
4,23,18,28.0,4.0,0.0,0,1,23.0,26.8,27.8,24.84,4.028399185780885,3.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.999998250000437
4,23,18,27.8,4.0,0.0,0,2,28.0,23.0,26.8,26.68,2.1099763031844834,3.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.949998262500435
4,23,18,18.8,2.25,0.0,0,0,27.8,28.0,23.0,24.88,3.951202348652888,3.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.35555184197696
4,23,18,26.6,1.75,0.0,0,1,18.8,27.8,28.0,24.84,3.927849284277606,3.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,15.19999131429068
4,23,19,27.0,1.5,0.0,0,2,26.6,18.8,27.8,25.639999999999997,3.866264346885774,2.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.999988000008003
4,23,19,18.2,2.0,0.0,0,0,27.0,26.6,18.8,23.68,4.753104248804156,2.3,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.099995450002274
4,23,19,26.6,1.5,0.0,0,1,18.2,27.0,26.6,23.44,4.517521444332072,1.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.733321511118994
4,23,19,25.4,0.5,0.0,0,2,26.6,18.2,27.0,24.76,3.715911731997962,1.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,50.79989840020319
4,23,19,21.8,7.25,0.0,0,0,25.4,26.6,18.2,23.8,3.7416573867739573,2.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.0068961369798433
4,23,19,26.4,1.25,0.0,0,1,21.8,25.4,26.6,23.68,3.621049571602151,2.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.119983104013517
4,23,19,29.0,3.0,0.0,0,2,26.4,21.8,25.4,25.839999999999996,2.616868357407393,2.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.666663444445518
4,23,19,18.0,0.75,0.0,0,0,29.0,26.4,21.8,24.119999999999997,4.286257108480558,2.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,23.999968000042667
4,23,19,26.8,1.5,0.0,0,1,18.0,29.0,26.4,24.4,4.433959855479085,2.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.8666547555635
4,23,20,28.2,4.0,0.0,0,2,26.8,18.0,29.0,25.68,4.419502234415101,2.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.04999823750044
4,23,20,19.8,2.25,0.0,0,0,28.2,26.8,18.0,24.360000000000003,5.086059378339984,2.3,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.799996088890627
4,23,20,27.6,2.25,0.0,0,1,19.8,28.2,26.8,24.080000000000002,4.797082446654437,2.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.266661214817237
4,23,20,32.4,10.75,0.0,0,2,27.6,19.8,28.2,26.96,4.550604355467526,4.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.0139532080043527
4,23,20,20.2,1.5,0.0,0,0,32.4,27.6,19.8,25.639999999999997,5.472476587432792,4.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,13.466657688894875
4,23,20,27.4,1.5,0.0,0,1,20.2,32.4,27.6,25.48,5.389990723554176,3.65,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,18.266654488897007
4,23,20,26.8,1.25,0.0,0,2,27.4,20.2,32.4,26.879999999999995,4.355685939091572,3.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.439982848013724
4,23,20,19.2,3.25,0.0,0,0,26.8,27.4,20.2,25.2,5.482700064749125,3.65,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,5.907690489941388
4,23,21,26.4,1.25,0.0,0,1,19.2,26.8,27.4,23.999999999999996,3.957271787481886,1.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.119983104013517
4,23,21,26.8,1.5,0.0,0,2,26.4,19.2,26.8,25.32,3.4397674339989983,1.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.8666547555635
4,23,21,20.8,5.75,0.0,0,0,26.8,26.4,19.2,24.0,3.6986484017813974,2.6,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.6173906752364045
4,23,21,31.2,4.0,0.0,0,1,20.8,26.8,26.4,24.880000000000003,4.869496893930631,3.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.799998050000487
